"","alue","vakiluku","temp","area","logtiheys","kunta","hintataso","trendi","trendimuutos","pinta_ala"
"61380","Polvenkylä",172,613,"3",0.531777052079203,"Kurikka",974.51989401624,0.0481682188891194,"-0.0100419267026291",50.5535193342961
"61400","Ylistaro Keskus",2050,614,"4",1.50505727133337,"Seinäjoki",1012.60168047417,0.0485703394712967,"-0.00945325000942915",64.0761766077134
"61410","Ylistaro Asemanseutu",844,614,"4",0.95904855197176,"Seinäjoki",763.970485852543,0.0461416390543023,"-0.0100538817665491",92.7457237560174
"61430","Isorehto",401,614,"4",1.08212853329405,"Seinäjoki",907.613278392792,0.0467122357441939,"-0.0102848890016137",33.1906562427618
"61440","Untamala",203,614,"4",0.682010039819132,"Seinäjoki",946.747405388918,0.0470859028647655,"-0.0095964435060404",42.2168667869074
"61450","Kylänpää",640,614,"4",0.825526306755411,"Seinäjoki",827.95841563107,0.0458991545709859,"-0.0117829123502411",95.6431050942599
"61460","Hanhikoski",234,614,"4",0.685143852617909,"Seinäjoki",873.558471350954,0.0496458815242924,"-0.0103007596725759",48.313889845755
"61470","Kitinoja",401,614,"4",1.04163631397874,"Alavus",935.804673041031,0.0473605409962616,"-0.0102480864494184",36.4341010611056
"61500","Isokyrö Keskus",2785,615,"5",1.28112345640356,"Isokyrö",918.89036979917,0.047186674253756,"-0.0105332849317785",145.781274619513
"61520","Lehmäjoki",242,615,"5",0.677839632237249,"Isokyrö",893.904422773178,0.0469238910824083,"-0.0109643355201665",50.8131049883342
"61550","Orismala",697,615,"5",1.09475001194399,"Seinäjoki",927.590154674593,0.0472764977327234,"-0.0103859449660518",56.0380179694283
"61560","Orisberg",58,615,"5",-0.229336734086016,"Seinäjoki",1012.9925016512,0.0482602280947466,"-0.00946847617746889",98.3478177256119
"61600","Jalasjärvi Keskus",4050,616,"6",1.61233029876721,"Jalasjärvi",977.624376422462,0.0478918359809801,"-0.0100093571790642",98.8837036659575
"61630","Hirvijärvi",313,616,"6",0.81902406753155,"Jalasjärvi",933.435572535768,0.0474123724116847,"-0.0107133156132919",47.4810451458774
"61640","Ala-Valli",214,616,"6",0.642342979353644,"Jalasjärvi",971.724208618806,0.0478290855889099,"-0.0101014886163157",48.7607968209615
"61650","Kalakoski",402,616,"6",0.375306190146801,"Seinäjoki",1149.76980241434,0.0496575964536412,"-0.00763817431555412",169.402518600438
"61680","Mantila",261,616,"6",0.733620412744128,"Jalasjärvi",1092.7214051653,0.0499097129070107,"-0.00944431029427893",48.197009763089
"61710","Pentinmäki",300,617,"7",1.02645027798949,"Jalasjärvi",1124.7281360474,0.0502625283746311,"-0.00902253674829684",28.227406448164
"61720","Koskue",600,617,"7",0.697391322047415,"Jalasjärvi",1089.60827838475,0.0498748465459327,"-0.00948599131480371",120.436999813475
"61730","Yli-Valli",263,617,"7",0.269119989332176,"Jalasjärvi",1843.12187049937,0.0608995261671053,"-0.00719370917490639",141.525845839718
"61760","Ilvesjoki",384,617,"7",0.641340777728095,"Jalasjärvi",1107.97621201646,0.0500791401240464,"-0.00924176838590683",87.6981529595483
"61800","Kauhajoki Keskus",8444,618,"8",1.92101582748046,"Kauhajoki",1051.12532640196,0.0494354239133361,"-0.0100112994686244",101.282029956162
"61810","Luomankylä",302,618,"8",0.748723493018085,"Kauhajoki",942.134907452784,0.0475085327622879,"-0.0105721309765845",53.8621208435393
"61820","Kainasto",642,618,"8",1.00145844031063,"Kauhajoki",930.588608498347,0.047380708028081,"-0.0107598059231505",63.9847662560607
"61840","Norinkylä",342,618,"8",0.72374741136057,"Teuva",983.502412063376,0.0479539755311056,"-0.00991812259272369",64.6068690106982
"61850","Kauhajoki Asemanseutu",2281,618,"8",1.04254831441122,"Kauhajoki",948.836436097501,0.0475820063099615,"-0.0104642555781398",206.812588745997
"61860","Harja",215,618,"8",0.870090560783706,"Kauhajoki",893.932002561458,0.0469641244142974,"-0.0113714426923737",28.9966548493946
"61880","Ikkeläjärvi",203,618,"8",0.40897250470046,"Kauhajoki",961.822451443587,0.0477229156242893,"-0.0102573695775453",79.1632349822223
"61910","Nummijärvi",314,619,"9",0.355013317093715,"Kauhajoki",1273.69436698499,0.0491145765838402,"-0.00519161058599492",138.648868910685
"61920","Nummikoski",80,619,"9",0.240836406107094,"Kauhajoki",1009.95246524659,0.0411110094934693,"-0.00702852433139449",45.9466212975657
"61940","Hyyppä",316,619,"9",0.752896243903565,"Kauhajoki",1042.16282391807,0.0412002208168431,"-0.00655133292478433",55.8201293738948
"61950","Juonikylä",167,619,"9",0.420642107676771,"Kauhajoki",1039.44269070818,0.0411927943457024,"-0.00659105712206979",63.3978256931665
"61960","Kyrönlatva",153,619,"9",-0.131268652311929,"Kauhajoki",1024.18213394252,0.0411507664099731,"-0.00681586456813294",206.995108672203
"61980","Päntäne",962,619,"9",0.546506560585746,"Kauhajoki",979.241648873689,0.041023261092198,"-0.00749789056705727",273.318174535966
"62100","Lapua Keskus",10780,621,"1",1.69641592227334,"Lapua",949.290486149082,0.0409349912734246,"-0.00797004586516012",216.871677417504
"62130","Hellanmaa",587,621,"1",1.01869417243858,"Lapua",943.873263489616,0.0409187290396733,"-0.00805703256040196",56.2268726726026
"62150","Rintakangas",158,621,"1",1.2911592686302,"Kauhava",1020.65434784078,0.0411409617034549,"-0.00686830994746236",8.08160869310965
"62160","Karhunkylä",629,621,"1",1.26847768408239,"Lapua",981.106688574242,0.040787135740998,"-0.00588577453746673",33.8979130497368
"62165","Tiisteenjoki",363,621,"1",1.14011790733933,"Lapua",954.919543953149,0.0399471859196003,"-0.00683718145070869",26.2898868961402
