year pnro price n
2012 04230 2309.0 146
2012 04250 2579.0 65
2012 04260 2071.0 88
2012 04300 2540.0 143
2012 04310 2665.0 25
2012 04320 2164.0 87
2012 04330 2404.0 19
2012 04340 1929.0 52
2012 04400 2380.0 253
2012 04410 2433.0 152
2012 04420 2532.0 79
2012 04430 2630.0 141
2012 04440 1875.0 54
2012 04460 2417.0 33
2012 04500 2074.0 28
2012 04600 2075.0 124
2012 04620 2165.0 18
2012 05200 1945.0 53
2012 05400 2205.0 56
2012 05460 1953.0 63
2012 05800 2067.0 237
2012 05810 2312.0 46
2012 05820 1621.0 39
2012 05830 2130.0 123
2012 05840 1861.0 72
2012 05860 1596.0 25
2012 05880 1587.0 56
2012 05900 1827.0 98
2012 06100 2698.0 281
2012 06150 2212.0 63
2012 06400 2135.0 88
2012 06450 1930.0 51
2012 06650 2362.0 9
